[s],CH1[V]
-1.5242E-02,2.395E-02
-1.5240E-02,2.355E-02
-1.5238E-02,2.355E-02
-1.5236E-02,2.355E-02
-1.5234E-02,2.395E-02
-1.5232E-02,2.355E-02
-1.5230E-02,2.355E-02
-1.5228E-02,2.395E-02
-1.5226E-02,2.355E-02
-1.5224E-02,2.395E-02
-1.5222E-02,2.355E-02
-1.5220E-02,2.355E-02
-1.5218E-02,2.355E-02
-1.5216E-02,2.395E-02
-1.5214E-02,2.395E-02
-1.5212E-02,2.355E-02
-1.5210E-02,2.355E-02
-1.5208E-02,2.355E-02
-1.5206E-02,2.355E-02
-1.5204E-02,2.355E-02
-1.5202E-02,2.355E-02
-1.5200E-02,2.355E-02
-1.5198E-02,2.355E-02
-1.5196E-02,2.355E-02
-1.5194E-02,2.355E-02
-1.5192E-02,2.355E-02
-1.5190E-02,2.355E-02
-1.5188E-02,2.355E-02
-1.5186E-02,2.355E-02
-1.5184E-02,2.355E-02
-1.5182E-02,2.355E-02
-1.5180E-02,2.395E-02
-1.5178E-02,2.355E-02
-1.5176E-02,2.355E-02
-1.5174E-02,2.355E-02
-1.5172E-02,2.355E-02
-1.5170E-02,2.355E-02
-1.5168E-02,2.395E-02
-1.5166E-02,2.355E-02
-1.5164E-02,2.355E-02
-1.5162E-02,2.395E-02
-1.5160E-02,2.355E-02
-1.5158E-02,2.355E-02
-1.5156E-02,2.355E-02
-1.5154E-02,2.355E-02
-1.5152E-02,2.355E-02
-1.5150E-02,2.355E-02
-1.5148E-02,2.395E-02
-1.5146E-02,2.355E-02
-1.5144E-02,2.355E-02
-1.5142E-02,2.355E-02
-1.5140E-02,2.355E-02
-1.5138E-02,2.355E-02
-1.5136E-02,2.395E-02
-1.5134E-02,2.315E-02
-1.5132E-02,2.355E-02
-1.5130E-02,2.315E-02
-1.5128E-02,2.395E-02
-1.5126E-02,2.395E-02
-1.5124E-02,2.395E-02
-1.5122E-02,2.355E-02
-1.5120E-02,2.355E-02
-1.5118E-02,2.355E-02
-1.5116E-02,2.355E-02
-1.5114E-02,2.355E-02
-1.5112E-02,2.395E-02
-1.5110E-02,2.355E-02
-1.5108E-02,2.355E-02
-1.5106E-02,2.355E-02
-1.5104E-02,2.355E-02
-1.5102E-02,2.355E-02
-1.5100E-02,2.395E-02
-1.5098E-02,2.355E-02
-1.5096E-02,2.355E-02
-1.5094E-02,2.355E-02
-1.5092E-02,2.355E-02
-1.5090E-02,2.355E-02
-1.5088E-02,2.355E-02
-1.5086E-02,2.355E-02
-1.5084E-02,2.355E-02
-1.5082E-02,2.395E-02
-1.5080E-02,2.315E-02
-1.5078E-02,2.355E-02
-1.5076E-02,2.355E-02
-1.5074E-02,2.355E-02
-1.5072E-02,2.355E-02
-1.5070E-02,2.315E-02
-1.5068E-02,2.355E-02
-1.5066E-02,2.355E-02
-1.5064E-02,2.355E-02
-1.5062E-02,2.355E-02
-1.5060E-02,2.355E-02
-1.5058E-02,2.355E-02
-1.5056E-02,2.395E-02
-1.5054E-02,2.355E-02
-1.5052E-02,2.355E-02
-1.5050E-02,2.355E-02
-1.5048E-02,2.355E-02
-1.5046E-02,2.395E-02
-1.5044E-02,2.355E-02
-1.5042E-02,2.355E-02
-1.5040E-02,2.355E-02
-1.5038E-02,2.355E-02
-1.5036E-02,2.355E-02
-1.5034E-02,2.355E-02
-1.5032E-02,2.355E-02
-1.5030E-02,2.395E-02
-1.5028E-02,2.355E-02
-1.5026E-02,2.395E-02
-1.5024E-02,2.355E-02
-1.5022E-02,2.355E-02
-1.5020E-02,2.355E-02
-1.5018E-02,2.395E-02
-1.5016E-02,2.355E-02
-1.5014E-02,2.315E-02
-1.5012E-02,2.355E-02
-1.5010E-02,2.355E-02
-1.5008E-02,2.355E-02
-1.5006E-02,2.355E-02
-1.5004E-02,2.355E-02
-1.5002E-02,2.355E-02
-1.5000E-02,2.355E-02
-1.4998E-02,2.355E-02
-1.4996E-02,2.355E-02
-1.4994E-02,2.355E-02
-1.4992E-02,2.355E-02
-1.4990E-02,2.355E-02
-1.4988E-02,2.355E-02
-1.4986E-02,2.355E-02
-1.4984E-02,2.355E-02
-1.4982E-02,2.355E-02
-1.4980E-02,2.355E-02
-1.4978E-02,2.355E-02
-1.4976E-02,2.355E-02
-1.4974E-02,2.355E-02
-1.4972E-02,2.355E-02
-1.4970E-02,2.395E-02
-1.4968E-02,2.355E-02
-1.4966E-02,2.355E-02
-1.4964E-02,2.355E-02
-1.4962E-02,2.395E-02
-1.4960E-02,2.355E-02
-1.4958E-02,2.395E-02
-1.4956E-02,2.355E-02
-1.4954E-02,2.395E-02
-1.4952E-02,2.395E-02
-1.4950E-02,2.355E-02
-1.4948E-02,2.355E-02
-1.4946E-02,2.355E-02
-1.4944E-02,2.355E-02
-1.4942E-02,2.355E-02
-1.4940E-02,2.355E-02
-1.4938E-02,2.355E-02
-1.4936E-02,2.395E-02
-1.4934E-02,2.315E-02
-1.4932E-02,2.395E-02
-1.4930E-02,2.355E-02
-1.4928E-02,2.395E-02
-1.4926E-02,2.355E-02
-1.4924E-02,2.355E-02
-1.4922E-02,2.355E-02
-1.4920E-02,2.355E-02
-1.4918E-02,2.355E-02
-1.4916E-02,2.355E-02
-1.4914E-02,2.355E-02
-1.4912E-02,2.355E-02
-1.4910E-02,2.395E-02
-1.4908E-02,2.355E-02
-1.4906E-02,2.355E-02
-1.4904E-02,2.395E-02
-1.4902E-02,2.355E-02
-1.4900E-02,2.355E-02
-1.4898E-02,2.395E-02
-1.4896E-02,2.355E-02
-1.4894E-02,2.395E-02
-1.4892E-02,2.395E-02
-1.4890E-02,2.355E-02
-1.4888E-02,2.355E-02
-1.4886E-02,2.355E-02
